
[Name]
inlet big

[Data]
X [ m ], Y [ m ], Z [ m ]
-2.03199998e-01, -2.00537503e-01, -1.53636048e-02
-2.03199998e-01, -1.99376136e-01, -1.53990025e-02
-2.03199998e-01, -1.97995901e-01, -1.54279415e-02
-2.03199998e-01, -2.00158358e-01, -5.61206834e-03
-2.03199998e-01, -2.01520115e-01, -5.38709015e-03
-2.03199998e-01, -2.02664241e-01, -5.18936478e-03
-2.03199998e-01, -1.96359158e-01, -1.54418275e-02
-2.03199998e-01, -1.98540315e-01, -5.86311053e-03
-2.03199998e-01, -1.94423452e-01, -1.54295918e-02
-2.03199998e-01, -1.96622133e-01, -6.13808632e-03
-2.03199998e-01, -1.92141905e-01, -1.53748309e-02
-2.03199998e-01, -1.94354534e-01, -6.43141661e-03
-2.03199998e-01, -1.22845635e-01, 4.09747139e-02
-2.03199998e-01, -1.23054162e-01, 3.98103260e-02
-2.03199998e-01, -1.31995082e-01, 4.50445078e-02
-2.03199998e-01, -1.32016331e-01, 4.62270081e-02
-2.03199998e-01, -1.31991714e-01, 4.36424352e-02
-2.03199998e-01, -1.23324983e-01, 3.84358428e-02
-2.03199998e-01, -1.32020280e-01, 4.19848301e-02
-2.03199998e-01, -1.23680696e-01, 3.68200988e-02
-2.03199998e-01, -1.32098794e-01, 4.00319584e-02
-2.03199998e-01, -1.24147974e-01, 3.49292718e-02
-2.03199998e-01, -1.32252634e-01, 3.77413370e-02
-2.03199998e-01, -1.24761529e-01, 3.27288806e-02
-2.03199998e-01, -1.32093459e-01, -4.62566763e-02
-2.03199998e-01, -1.32289007e-01, -4.51106243e-02
-2.03199998e-01, -1.23381071e-01, -3.99484262e-02
-2.03199998e-01, -1.22859955e-01, -4.09811214e-02
-2.03199998e-01, -1.24007314e-01, -3.87378186e-02
-2.03199998e-01, -1.32538483e-01, -4.37631160e-02
-2.03199998e-01, -1.24756910e-01, -3.73233035e-02
-2.03199998e-01, -1.32855505e-01, -4.21844348e-02
-2.03199998e-01, -1.25654683e-01, -3.56796458e-02
-2.03199998e-01, -1.33260593e-01, -4.03438695e-02
-2.03199998e-01, -1.26736596e-01, -3.37862372e-02
-2.03199998e-01, -1.33784905e-01, -3.82119529e-02
-2.03199998e-01, -1.42070875e-01, 4.94548902e-02
-2.03199998e-01, -1.41843259e-01, 4.82992418e-02
-2.03199998e-01, -1.52159274e-01, 4.94217500e-02
-2.03199998e-01, -1.52567774e-01, 5.05222641e-02
-2.03199998e-01, -1.51688069e-01, 4.81095761e-02
-2.03199998e-01, -1.41591236e-01, 4.69243936e-02
-2.03199998e-01, -1.51150212e-01, 4.65473086e-02
-2.03199998e-01, -1.41319722e-01, 4.52920571e-02
-2.03199998e-01, -1.50543779e-01, 4.46909890e-02
-2.03199998e-01, -1.41036749e-01, 4.33591232e-02
-2.03199998e-01, -1.49870709e-01, 4.24909517e-02
-2.03199998e-01, -1.40756279e-01, 4.10779230e-02
-2.03199998e-01, -1.73499912e-01, -4.58991975e-02
-2.03199998e-01, -1.72596559e-01, -4.51332554e-02
-2.03199998e-01, -1.71543747e-01, -4.42084968e-02
-2.03199998e-01, -1.70325413e-01, -4.30909991e-02
-2.03199998e-01, -1.68926775e-01, -4.17408980e-02
-2.03199998e-01, -1.67337492e-01, -4.01108600e-02
-2.03199998e-01, -1.14939377e-01, -3.38939801e-02
-2.03199998e-01, -1.15746625e-01, -3.30695286e-02
-2.03199998e-01, -1.09698310e-01, -2.47704331e-02
-2.03199998e-01, -1.08680099e-01, -2.53121965e-02
-2.03199998e-01, -1.10897817e-01, -2.41319668e-02
-2.03199998e-01, -1.16702527e-01, -3.21030505e-02
-2.03199998e-01, -1.12304337e-01, -2.33783778e-02
-2.03199998e-01, -1.17829241e-01, -3.09723839e-02
-2.03199998e-01, -1.13948226e-01, -2.24940348e-02
-2.03199998e-01, -1.19154610e-01, -2.96573490e-02
-2.03199998e-01, -1.15867861e-01, -2.14726552e-02
-2.03199998e-01, -1.20717265e-01, -2.81463116e-02
-2.03199998e-01, -1.63047954e-01, 4.93882820e-02
-2.03199998e-01, -1.62486807e-01, 4.83644120e-02
-2.03199998e-01, -1.72362953e-01, 4.51737531e-02
-2.03199998e-01, -1.73055232e-01, 4.61085699e-02
-2.03199998e-01, -1.71545789e-01, 4.40576561e-02
-2.03199998e-01, -1.61829650e-01, 4.71422113e-02
-2.03199998e-01, -1.70584649e-01, 4.27267030e-02
-2.03199998e-01, -1.61064461e-01, 4.56850044e-02
-2.03199998e-01, -1.69459581e-01, 4.11416329e-02
-2.03199998e-01, -1.60179824e-01, 4.39503044e-02
-2.03199998e-01, -1.68150425e-01, 3.92571315e-02
-2.03199998e-01, -1.59166053e-01, 4.18894626e-02
-2.03199998e-01, -1.82156265e-01, 4.08321545e-02
-2.03199998e-01, -1.81354508e-01, 3.99950370e-02
-2.03199998e-01, -1.89062372e-01, 3.30624282e-02
-2.03199998e-01, -1.89959645e-01, 3.37940082e-02
-2.03199998e-01, -1.87995344e-01, 3.21916267e-02
-2.03199998e-01, -1.80403739e-01, 3.89964804e-02
-2.03199998e-01, -1.86728656e-01, 3.11572049e-02
-2.03199998e-01, -1.79278925e-01, 3.78070809e-02
-2.03199998e-01, -1.85229003e-01, 2.99304537e-02
-2.03199998e-01, -1.77952856e-01, 3.63922641e-02
-2.03199998e-01, -1.83459938e-01, 2.84779835e-02
-2.03199998e-01, -1.76396504e-01, 3.47119607e-02
-2.03199998e-01, -1.04355723e-01, -1.56180616e-02
-2.03199998e-01, -1.05491452e-01, -1.54084358e-02
-2.03199998e-01, -1.06828377e-01, -1.51541317e-02
-2.03199998e-01, -1.08395644e-01, -1.48406522e-02
-2.03199998e-01, -1.10225894e-01, -1.44567685e-02
-2.03199998e-01, -1.12356037e-01, -1.39974533e-02
-2.03199998e-01, -1.96134776e-01, 2.52989382e-02
-2.03199998e-01, -1.95153907e-01, 2.46804655e-02
-2.03199998e-01, -1.99390352e-01, 1.51084913e-02
-2.03199998e-01, -2.00444192e-01, 1.55978426e-02
-2.03199998e-01, -1.98135033e-01, 1.45309269e-02
-2.03199998e-01, -1.93985954e-01, 2.39467043e-02
-2.03199998e-01, -1.96641728e-01, 1.38525059e-02
-2.03199998e-01, -1.92597210e-01, 2.30787862e-02
-2.03199998e-01, -1.94868997e-01, 1.30586307e-02
-2.03199998e-01, -1.90949649e-01, 2.20546219e-02
-2.03199998e-01, -1.92770109e-01, 1.21336943e-02
-2.03199998e-01, -1.89000964e-01, 2.08489243e-02
-2.03199998e-01, -2.02655017e-01, 5.23337722e-03
-2.03199998e-01, -2.01546773e-01, 4.88610100e-03
-2.03199998e-01, -2.00226784e-01, 4.48032469e-03
-2.03199998e-01, -1.98656797e-01, 4.01017955e-03
-2.03199998e-01, -1.96793333e-01, 3.46925226e-03
-2.03199998e-01, -1.94587260e-01, 2.85238726e-03
